BTC_Cycle,Nasdaq_Level,DXY_Level,Google_Trends_Bitcoin,Google_Trends_Bitcoin_Lagged
-0.9065759467461298,-1.2401687363742198,224.95,-1.2269312593558166,
-0.9066801479490844,-1.243773085011452,224.1608979377687,-1.2246969405498684,
-0.9064668016904802,-1.247377433648684,223.37179587553737,-1.2224626217439198,
-0.906445505094256,-1.2491691603620831,223.06707999708516,-1.2202283029379715,
-0.9064550125032848,-1.234664088608222,221.84827013043792,-1.2179939841320229,
-0.9064204055344203,-1.2333202935731724,222.62175490781894,-1.2157596653260745,
-0.9064101375326693,-1.2405727730781326,222.59831109815636,-1.213525346520126,
-0.9063181058132713,-1.2421990668484915,222.47330128980542,-1.2112910277141777,
-0.9062747520281005,-1.2438253606188507,222.34829148145445,-1.2090567089082291,
-0.9061500148216439,-1.2454516543892096,222.22328167310351,-1.2068223901022808,
-0.9056145575451472,-1.2395453375420638,222.66862464475693,-1.2045880712963322,
-0.9056761655556533,-1.2373910263137964,221.02791561611886,-1.2023537524903836,
-0.9056864335574043,-1.221673618960314,220.41850174160166,-1.2001194336844352,
-0.9058537639563095,-1.2253565125432422,220.53568502514022,-1.1978851148784868,
-0.9058309461746407,-1.2225110433741628,220.72319973766662,-1.1956507960725384,
-0.9058792438125065,-1.2196655742050841,220.91071445019307,-1.1934164772665898,
-0.9057632534223562,-1.216820105036005,221.09822916271946,-1.1911821584606415,
-0.9058655531435051,-1.2154070852210648,223.67649387160236,-1.1889478396546929,
-0.9060096854643803,-1.2241073096748516,223.27803851927413,-1.1867135208487445,
-0.9059225975976773,-1.22646715310791,223.11396761641032,-1.1844792020427959,
-0.9058925541851466,-1.2337820927562893,223.77025122786557,-1.1822448832368477,
-0.9056111348778969,-1.2431750535660644,223.23897146396553,-1.1800105644308991,
-0.9056864335574043,-1.252568014375839,222.70769170006554,-1.1777762456249508,
-0.9053802949866799,-1.2619609751856142,222.1764119361655,-1.1755419268190022,
-0.90515173687363,-1.2554034493341524,223.81712096480356,-1.1733076080130538,
-0.905320968754341,-1.249342335055752,225.7391020622312,-1.1710732892071052,
-0.9054430438862695,-1.2502451885368053,225.2703331633024,-1.1710732892071052,
-0.9054076763246827,-1.251242098650797,225.3816689062158,-1.1710732892071052,
-0.9052346414803603,-1.2522390087647886,225.49300464912915,-1.1710732892071052,
-0.904815554890375,-1.25323591887878,225.6043403920425,-1.1710732892071052,
-0.9049250802423857,-1.2542328289927716,225.71567613495583,-1.1710732892071052,
-0.9050323238162294,-1.2529582587376131,227.05168716752888,-1.1710732892071052,
-0.9048581480828236,-1.273208198014835,225.6922323252932,-1.1710732892071052,-1.2269312593558166
-0.9049174743151627,-1.270289595609237,226.44227329301162,-1.1710732892071052,-1.2246969405498684
-0.9043219302136047,-1.2529027887185473,225.08281845077602,-1.1710732892071052,-1.2224626217439198
-0.9040089463083798,-1.247221922172469,225.7312934198061,-1.1710732892071052,-1.2202283029379715
-0.9033339202673418,-1.2415410556263906,226.37976838883617,-1.1710732892071052,-1.2179939841320229
-0.9040496380190226,-1.235860189080312,227.0282433578663,-1.1710732892071052,-1.2157596653260745
-0.9042241940487896,-1.2281526750287075,226.51258683961228,-1.1710732892071052,-1.213525346520126
-0.9042861823556567,-1.2295265726960547,227.66108315965892,-1.1710732892071052,-1.2112910277141777
-0.9045805317391854,-1.2146935288172702,228.90335471835598,-1.1710732892071052,-1.2090567089082291
-0.9045280508413469,-1.203850493017217,229.37212361728479,-1.1710732892071052,-1.2068223901022808
-0.9047018462783917,-1.203179365916624,229.50494206806087,-1.1710732892071052,-1.2045880712963322
-0.9047509045089798,-1.2025082388160306,229.63776051883693,-1.1710732892071052,-1.2023537524903836
-0.9045466853630433,-1.2018371117154374,229.77057896961298,-1.1710732892071052,-1.2001194336844352
-0.9046664787168048,-1.2043169147019221,228.12986994097497,-1.1710732892071052,-1.1978851148784868
-0.9046136175226053,-1.2127101374038474,228.7627097427675,-1.1710732892071052,-1.1956507960725384
-0.9046581121968597,-1.218565719477457,227.6376572323835,-1.1710732892071052,-1.1934164772665898
-0.9041930097471755,-1.2319071610142913,227.91891141878588,-1.1710732892071052,-1.1911821584606415
-0.9041770373000072,-1.2356669835464256,227.34075595715214,-1.1710732892071052,-1.1889478396546929
-0.9040252990519092,-1.2394268060785594,226.76260049551837,-1.1710732892071052,-1.1867135208487445
-0.9039899314903224,-1.2431866286106932,226.18444503388457,-1.1710732892071052,-1.1844792020427959
-0.9039591274850693,-1.2317732212121575,226.8172848356772,-1.1710732892071052,-1.1822448832368477
-0.9041431909238651,-1.2265733579005114,227.30951542665588,-1.1710732892071052,-1.1800105644308991
-0.9042143063433997,-1.2226365649620223,228.66895238650432,-1.1710732892071052,-1.1777762456249508
-0.9043310573262722,-1.2227520147578015,228.22362729723815,-1.1710732892071052,-1.1755419268190022
-0.9044470477164225,-1.2237448754852382,228.31737869270555,-1.1710732892071052,-1.1733076080130538
-0.9044086377839464,-1.2247377362126755,228.41113008817305,-1.173235533212862,-1.1710732892071052
